"Slug","Lang","Exists","Size"
"sp500-index","en","True","2418"
"sp500-index","jp","True","3213"
"sp500-index","cn","True","2454"
"sp500-index","es","True","2929"
"sp500-index","hi","True","5407"
"sp500-index","id","True","2622"
"sp500-index","ar","True","3701"
"sp500-index","fr","True","2992"
"sp500-index","de","True","2823"
"nasdaq-100","en","True","2254"
"nasdaq-100","jp","True","2909"
"nasdaq-100","cn","True","2577"
"nasdaq-100","es","True","2486"
"nasdaq-100","hi","True","4501"
"nasdaq-100","id","True","2347"
"nasdaq-100","ar","True","3262"
"nasdaq-100","fr","True","2592"
"nasdaq-100","de","True","2463"
"dow-jones","en","False","0"
"dow-jones","jp","False","0"
"dow-jones","cn","False","0"
"dow-jones","es","False","0"
"dow-jones","hi","False","0"
"dow-jones","id","False","0"
"dow-jones","ar","False","0"
"dow-jones","fr","False","0"
"dow-jones","de","False","0"
"russell-2000","en","False","0"
"russell-2000","jp","False","0"
"russell-2000","cn","False","0"
"russell-2000","es","False","0"
"russell-2000","hi","False","0"
"russell-2000","id","False","0"
"russell-2000","ar","False","0"
"russell-2000","fr","False","0"
"russell-2000","de","False","0"
"dax-index","en","True","2721"
"dax-index","jp","True","3666"
"dax-index","cn","True","2721"
"dax-index","es","True","2721"
"dax-index","hi","True","2721"
"dax-index","id","True","2721"
"dax-index","ar","True","2721"
"dax-index","fr","True","2721"
"dax-index","de","True","2721"
"ftse-100","en","True","2364"
"ftse-100","jp","True","3083"
"ftse-100","cn","True","1319"
"ftse-100","es","True","1319"
"ftse-100","hi","True","1319"
"ftse-100","id","True","1319"
"ftse-100","ar","True","1319"
"ftse-100","fr","True","1319"
"ftse-100","de","True","1319"
"cac-40","en","False","0"
"cac-40","jp","False","0"
"cac-40","cn","False","0"
"cac-40","es","False","0"
"cac-40","hi","False","0"
"cac-40","id","False","0"
"cac-40","ar","False","0"
"cac-40","fr","False","0"
"cac-40","de","False","0"
"nikkei-225","en","True","2061"
"nikkei-225","jp","True","3687"
"nikkei-225","cn","True","2061"
"nikkei-225","es","True","2061"
"nikkei-225","hi","True","2061"
"nikkei-225","id","True","2061"
"nikkei-225","ar","True","2061"
"nikkei-225","fr","True","2061"
"nikkei-225","de","True","2061"
"hang-seng","en","True","2514"
"hang-seng","jp","True","3144"
"hang-seng","cn","True","1377"
"hang-seng","es","True","1377"
"hang-seng","hi","True","1377"
"hang-seng","id","True","1377"
"hang-seng","ar","True","1377"
"hang-seng","fr","True","1377"
"hang-seng","de","True","1377"
"asx-200","en","True","2167"
"asx-200","jp","True","3423"
"asx-200","cn","True","2167"
"asx-200","es","True","2167"
"asx-200","hi","True","2167"
"asx-200","id","True","2167"
"asx-200","ar","True","2167"
"asx-200","fr","True","2167"
"asx-200","de","True","2167"
"nifty-50","en","True","2051"
"nifty-50","jp","True","3625"
"nifty-50","cn","True","2051"
"nifty-50","es","True","2051"
"nifty-50","hi","True","2051"
"nifty-50","id","True","2051"
"nifty-50","ar","True","2051"
"nifty-50","fr","True","2051"
"nifty-50","de","True","2051"
"bitcoin","en","True","2100"
"bitcoin","jp","True","3650"
"bitcoin","cn","True","2100"
"bitcoin","es","True","2100"
"bitcoin","hi","True","2100"
"bitcoin","id","True","2100"
"bitcoin","ar","True","2100"
"bitcoin","fr","True","2100"
"bitcoin","de","True","2100"
"ethereum","en","True","1998"
"ethereum","jp","True","3731"
"ethereum","cn","True","1998"
"ethereum","es","True","1998"
"ethereum","hi","True","1998"
"ethereum","id","True","1998"
"ethereum","ar","True","1998"
"ethereum","fr","True","1998"
"ethereum","de","True","1998"
"solana","en","True","2294"
"solana","jp","True","3775"
"solana","cn","True","2294"
"solana","es","True","2294"
"solana","hi","True","2294"
"solana","id","True","2294"
"solana","ar","True","2294"
"solana","fr","True","2294"
"solana","de","True","2294"
"us10y-yield","en","True","2593"
"us10y-yield","jp","True","3647"
"us10y-yield","cn","True","2635"
"us10y-yield","es","True","3156"
"us10y-yield","hi","True","6055"
"us10y-yield","id","True","2868"
"us10y-yield","ar","True","3943"
"us10y-yield","fr","True","3175"
"us10y-yield","de","True","2938"
"ger10y-yield","en","False","0"
"ger10y-yield","jp","False","0"
"ger10y-yield","cn","False","0"
"ger10y-yield","es","False","0"
"ger10y-yield","hi","False","0"
"ger10y-yield","id","False","0"
"ger10y-yield","ar","False","0"
"ger10y-yield","fr","False","0"
"ger10y-yield","de","False","0"
"jp10y-yield","en","False","0"
"jp10y-yield","jp","False","0"
"jp10y-yield","cn","False","0"
"jp10y-yield","es","False","0"
"jp10y-yield","hi","False","0"
"jp10y-yield","id","False","0"
"jp10y-yield","ar","False","0"
"jp10y-yield","fr","False","0"
"jp10y-yield","de","False","0"
"eurusd","en","True","1975"
"eurusd","jp","True","3451"
"eurusd","cn","True","1975"
"eurusd","es","True","1975"
"eurusd","hi","True","1975"
"eurusd","id","True","1975"
"eurusd","ar","True","1975"
"eurusd","fr","True","1975"
"eurusd","de","True","1975"
"usdjpy","en","True","2428"
"usdjpy","jp","True","3599"
"usdjpy","cn","True","2428"
"usdjpy","es","True","2428"
"usdjpy","hi","True","2428"
"usdjpy","id","True","2428"
"usdjpy","ar","True","2428"
"usdjpy","fr","True","2428"
"usdjpy","de","True","2428"
"gbpusd","en","False","0"
"gbpusd","jp","False","0"
"gbpusd","cn","False","0"
"gbpusd","es","False","0"
"gbpusd","hi","False","0"
"gbpusd","id","False","0"
"gbpusd","ar","False","0"
"gbpusd","fr","False","0"
"gbpusd","de","False","0"
"audusd","en","False","0"
"audusd","jp","False","0"
"audusd","cn","False","0"
"audusd","es","False","0"
"audusd","hi","False","0"
"audusd","id","False","0"
"audusd","ar","False","0"
"audusd","fr","False","0"
"audusd","de","False","0"
"usdcny","en","True","3413"
"usdcny","jp","True","3859"
"usdcny","cn","True","1150"
"usdcny","es","True","1150"
"usdcny","hi","True","1150"
"usdcny","id","True","1150"
"usdcny","ar","True","1150"
"usdcny","fr","True","1150"
"usdcny","de","True","1150"
"usdinr","en","True","2088"
"usdinr","jp","True","3666"
"usdinr","cn","True","2088"
"usdinr","es","True","2088"
"usdinr","hi","True","2088"
"usdinr","id","True","2088"
"usdinr","ar","True","2088"
"usdinr","fr","True","2088"
"usdinr","de","True","2088"
"usdsar","en","True","2181"
"usdsar","jp","True","3843"
"usdsar","cn","True","2181"
"usdsar","es","True","2181"
"usdsar","hi","True","2181"
"usdsar","id","True","2181"
"usdsar","ar","True","2181"
"usdsar","fr","True","2181"
"usdsar","de","True","2181"
"gold-price","en","True","2348"
"gold-price","jp","True","3263"
"gold-price","cn","True","2272"
"gold-price","es","True","2668"
"gold-price","hi","True","5296"
"gold-price","id","True","2560"
"gold-price","ar","True","3445"
"gold-price","fr","True","2707"
"gold-price","de","True","2585"
"silver-price","en","True","3036"
"silver-price","jp","True","3350"
"silver-price","cn","True","1211"
"silver-price","es","True","1211"
"silver-price","hi","True","1211"
"silver-price","id","True","1211"
"silver-price","ar","True","1211"
"silver-price","fr","True","1211"
"silver-price","de","True","1211"
"wti-oil","en","True","2372"
"wti-oil","jp","True","3209"
"wti-oil","cn","True","2361"
"wti-oil","es","True","2990"
"wti-oil","hi","True","5459"
"wti-oil","id","True","2528"
"wti-oil","ar","True","3822"
"wti-oil","fr","True","2921"
"wti-oil","de","True","2722"
"natural-gas","en","True","3072"
"natural-gas","jp","True","3338"
"natural-gas","cn","True","1180"
"natural-gas","es","True","1180"
"natural-gas","hi","True","1180"
"natural-gas","id","True","1180"
"natural-gas","ar","True","1180"
"natural-gas","fr","True","1180"
"natural-gas","de","True","1180"
"copper-price","en","True","1230"
"copper-price","jp","True","1230"
"copper-price","cn","True","1230"
"copper-price","es","True","1230"
"copper-price","hi","True","1230"
"copper-price","id","True","1230"
"copper-price","ar","True","1230"
"copper-price","fr","True","1230"
"copper-price","de","True","1230"
"agri-index","en","True","2498"
"agri-index","jp","True","3031"
"agri-index","cn","True","1171"
"agri-index","es","True","1171"
"agri-index","hi","True","1171"
"agri-index","id","True","1171"
"agri-index","ar","True","1171"
"agri-index","fr","True","1171"
"agri-index","de","True","1171"
"rare-earth","en","True","2510"
"rare-earth","jp","True","3225"
"rare-earth","cn","True","1019"
"rare-earth","es","True","1019"
"rare-earth","hi","True","1019"
"rare-earth","id","True","1019"
"rare-earth","ar","True","1019"
"rare-earth","fr","True","1019"
"rare-earth","de","True","1019"
"lithium-index","en","False","0"
"lithium-index","jp","False","0"
"lithium-index","cn","False","0"
"lithium-index","es","False","0"
"lithium-index","hi","False","0"
"lithium-index","id","False","0"
"lithium-index","ar","False","0"
"lithium-index","fr","False","0"
"lithium-index","de","False","0"
"shipping-index","en","True","3240"
"shipping-index","jp","True","3624"
"shipping-index","cn","True","2156"
"shipping-index","es","True","2156"
"shipping-index","hi","True","2156"
"shipping-index","id","True","2156"
"shipping-index","ar","True","2156"
"shipping-index","fr","True","2156"
"shipping-index","de","True","2156"
"semiconductor-index","en","False","0"
"semiconductor-index","jp","False","0"
"semiconductor-index","cn","False","0"
"semiconductor-index","es","False","0"
"semiconductor-index","hi","False","0"
"semiconductor-index","id","False","0"
"semiconductor-index","ar","False","0"
"semiconductor-index","fr","False","0"
"semiconductor-index","de","False","0"
"vix-index","en","False","0"
"vix-index","jp","False","0"
"vix-index","cn","False","0"
"vix-index","es","False","0"
"vix-index","hi","False","0"
"vix-index","id","False","0"
"vix-index","ar","False","0"
"vix-index","fr","False","0"
"vix-index","de","False","0"
"fear-greed","en","False","0"
"fear-greed","jp","False","0"
"fear-greed","cn","False","0"
"fear-greed","es","False","0"
"fear-greed","hi","False","0"
"fear-greed","id","False","0"
"fear-greed","ar","False","0"
"fear-greed","fr","False","0"
"fear-greed","de","False","0"
"crypto-fear-greed","en","False","0"
"crypto-fear-greed","jp","False","0"
"crypto-fear-greed","cn","False","0"
"crypto-fear-greed","es","False","0"
"crypto-fear-greed","hi","False","0"
"crypto-fear-greed","id","False","0"
"crypto-fear-greed","ar","False","0"
"crypto-fear-greed","fr","False","0"
"crypto-fear-greed","de","False","0"
"move-index","en","True","3469"
"move-index","jp","True","3989"
"move-index","cn","True","2471"
"move-index","es","True","3168"
"move-index","hi","True","6125"
"move-index","id","True","2879"
"move-index","ar","True","3999"
"move-index","fr","True","3276"
"move-index","de","True","3000"
"high-yield-spread","en","False","0"
"high-yield-spread","jp","False","0"
"high-yield-spread","cn","False","0"
"high-yield-spread","es","False","0"
"high-yield-spread","hi","False","0"
"high-yield-spread","id","False","0"
"high-yield-spread","ar","False","0"
"high-yield-spread","fr","False","0"
"high-yield-spread","de","False","0"
"copper-gold-ratio","en","True","2399"
"copper-gold-ratio","jp","True","3115"
"copper-gold-ratio","cn","True","2273"
"copper-gold-ratio","es","True","2766"
"copper-gold-ratio","hi","True","5775"
"copper-gold-ratio","id","True","2621"
"copper-gold-ratio","ar","True","3465"
"copper-gold-ratio","fr","True","2795"
"copper-gold-ratio","de","True","2764"
"global-liquidity","en","False","0"
"global-liquidity","jp","False","0"
"global-liquidity","cn","False","0"
"global-liquidity","es","False","0"
"global-liquidity","hi","False","0"
"global-liquidity","id","False","0"
"global-liquidity","ar","False","0"
"global-liquidity","fr","False","0"
"global-liquidity","de","False","0"
"us-housing","en","True","2181"
"us-housing","jp","True","3453"
"us-housing","cn","True","2181"
"us-housing","es","True","2181"
"us-housing","hi","True","2181"
"us-housing","id","True","2181"
"us-housing","ar","True","2181"
"us-housing","fr","True","2181"
"us-housing","de","True","2181"
